growth_rate of Germany,roll_austria,roll_belgium,roll_china,roll_denmark,roll_finland,roll_france,roll_greece,roll_iceland,roll_ireland,roll_italy,roll_japan,roll_luxembourg,roll_malta,roll_netherlands,roll_norway,roll_portugal,roll_spain,roll_sweden,roll_switzerland,roll_united_kingdom,roll_united_states
-0.006349228,0.769620255,0.752157823,0.070217072,0.663148668,0.369612365,0.74316247,-0.232876069,0.547615415,0.380414295,0.659712994,-0.317839426,0.235470023,0.349160572,0.694753345,0.096203416,0.51675941,0.4743326,0.518866456,0.90240325,0.28785243,0.437421875
0.012658397,0.799305442,0.68036062,-0.048595422,0.789058345,0.510096648,0.640880417,-0.41268005,0.487850877,0.437042819,0.637420055,-0.366325538,0.108198424,0.532187436,0.825050586,0.228838189,0.686800674,0.345444671,0.560968123,0.913964582,0.152605352,0.410920176
0.006269613,0.768673545,0.533909202,-0.247414255,0.662597107,0.593059646,0.537197042,-0.527796049,0.342721707,0.328598615,0.451569053,-0.487366591,-0.069488834,0.596050852,0.915229717,0.227844692,0.812960776,0.169895435,0.426275463,0.858573747,-0.11038373,0.255181175
0.039821494,0.78264827,0.578665184,0.054102156,0.658201566,0.748101587,0.573224456,-0.215963577,0.396366614,0.38500201,0.4933562,-0.176010825,-0.027217842,0.412012684,0.889476602,0.279638783,0.864418901,0.251825828,0.479744225,0.887679568,-0.04122804,0.30214356
0.026668247,0.8667533,0.72434012,0.428057069,0.755782649,0.837998375,0.771618472,0.21405673,0.62498235,0.609539324,0.667547971,0.269536559,0.246373532,0.341474245,0.903127067,0.590251015,0.933411837,0.522336705,0.674419365,0.926709261,0.264783107,0.454405456
0.011628038,0.887788063,0.753902931,0.512380141,0.748440586,0.868258972,0.861689491,0.371331468,0.710446988,0.427439011,0.732451391,0.323404057,0.358993636,0.387025311,0.921837467,0.725779016,0.936432922,0.620936931,0.640963224,0.942328906,0.293480932,0.387778165
-0.059541394,0.891319334,0.827666267,0.525376425,0.862163869,0.928406164,0.935466609,0.060301847,0.597822256,0.736514919,0.91678633,0.655827588,0.04469796,0.624825167,0.870046543,0.788433369,0.8533557,0.569739406,0.83032836,0.816063182,0.67616226,0.708805426
0.042048236,0.890597921,0.822022988,0.580916604,0.84974224,0.92761726,0.911096007,0.185039423,0.639412534,0.691685893,0.93527935,0.699398513,0.079808207,0.752738519,0.87800101,0.765817222,0.790807717,0.695113585,0.828118892,0.790240983,0.708736495,0.697479069
0.037522439,0.909130458,0.839687027,0.73837947,0.759140791,0.919828069,0.87178791,0.203855763,0.543462867,0.44911098,0.929220132,0.705127616,0.348604065,0.386537175,0.842333505,0.600739827,0.709269644,0.632549662,0.850307888,0.767817937,0.590681872,0.594506822
0.002828856,0.924096187,0.848065033,0.781121289,0.71825591,0.899939027,0.84917578,0.163392945,0.520237412,0.34067868,0.851571475,0.741766258,0.452664991,0.296266315,0.779696957,0.599335759,0.438663471,0.48790451,0.81899698,0.78034456,0.552475981,0.583452766
0.005633818,0.916407726,0.828377752,0.77969859,0.702898035,0.874404583,0.833496818,0.183323085,0.506508138,0.361581206,0.769538042,0.727717458,0.338435518,0.417467793,0.730460933,0.589414137,0.386525643,0.43672178,0.794149658,0.805350001,0.592495219,0.583837274
0.022223137,0.866500797,0.802853983,0.773082528,0.688516455,0.823769888,0.843071641,0.19203128,0.489394565,0.393914116,0.721286061,0.74800652,0.242186787,0.433006708,0.673965411,0.596868664,0.349397861,0.400284054,0.794196839,0.827989449,0.62582194,0.611798635
0.013642776,0.840938653,0.851682803,0.787646078,0.774690659,0.834504824,0.910286992,0.222570172,0.546852575,0.472889025,0.775419115,0.843582277,0.031707449,0.389490912,0.661335253,0.675307528,0.37181991,0.449512142,0.86275817,0.808357584,0.764265469,0.767449516
0.024097552,0.802296467,0.834065064,0.721300718,0.82145276,0.8103488,0.893046179,0.165369774,0.528733502,0.447903491,0.763957761,0.844071981,0.165802112,0.393378676,0.640508107,0.660938939,0.340696881,0.415664126,0.881789654,0.775319274,0.775516108,0.80195358
0.023530497,0.732729118,0.818887203,0.626386527,0.802392697,0.769140896,0.904294364,-0.053270203,0.385655963,0.326646419,0.709116206,0.815537912,0.381341494,0.383787533,0.550145514,0.571907954,0.215329113,0.263376123,0.874612655,0.650623702,0.727359896,0.776260747
0.012837147,0.648027653,0.792902688,0.444426394,0.708644745,0.696997962,0.863838173,-0.435211708,0.046128314,0.27754407,0.594019146,0.781689413,0.685585138,0.330223297,0.332793232,0.397255602,0.059458674,-0.008329298,0.850314794,0.564458648,0.631846407,0.693080136
0.00508907,0.514392543,0.413328102,0.23215101,0.502717,0.573666421,0.622289507,0.104078549,0.525596847,0.402953147,0.555702396,0.13247928,0.455625083,0.251401764,0.496501323,0.366759811,0.274364977,0.399659375,0.636241044,0.23348095,0.391023761,0.289438229
